STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SPECIES,Species,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention,CURRENCY,Currency
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2015,,254084,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2016,,236710,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2017,,251847,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2018,,212048,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2019,,204830,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2020,,171361,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,CHN,China (People’s Republic of),A,Annual,INLAND_FISH,Inland fisheries,MOF,Freshwater molluscs nei [Mollusca],T,Tonnes,2021,,141140,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2005,,2,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2006,,3,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,ROU,Romania,A,Annual,INLAND_FISH,Inland fisheries,SRE,Rudd [Scardinius erythrophthalmus],T,Tonnes,2007,,1,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
