STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,6460,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,6389,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,6360,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,6303,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,6276,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,6232,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,6197,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2017,,6151,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,6046,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,5964,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,GBR,United Kingdom,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2020,,5824,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,COL,Colombia,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2010,,158,,A,Normal value,,,0,Units,0,Zero,,
